tweet_id	tweet
68	@SouthwestAir @SMiles1307 over two hours now.  Ugh we should all get vouchers this is inexcusable ESP after a pre flight check that was ok.
69	@SouthwestAir I have a 5:30 flight out of Birmingham tomorrow night. Can I reschedule it for an earlier flight because of the expected snow?
70	You have to follow me back so that I can DM @SouthwestAir
71	@SouthwestAir horrible experience, passenger of size was 1/3 in my seat, offered $50 voucher for this by Christine C http://t.co/1xzrK66wVQ
72	@SouthwestAir 3rd time flying southwest in two years. Have another trip back to mx on October.
73	@SouthwestAir yes, very much so! I was looking forward to using your airlines for future flights but never again.
74	@SouthwestAir need to learn how to treat people with respect and just a little dignity. #FAIL
75	@SouthwestAir Redeem-points packages magically gone by time we finally got through @ 10:01, felt like #baitandswitch
76	@SouthwestAir done
77	@SouthwestAir I think I get a faster response on Twitter than I do when I call...what's up with that?
78	@SouthwestAir Any idea when the winter advisory will be posted for ATL for tomorrow (2/25)?? I'd rather get to PHL tonight.
79	@SouthwestAir then had to watch the staff check off each passenger on the list TWICE, because the first time they forgot look at IDs. Brutal
80	@SouthwestAir was on flight 2373 from CHI-BUF last night, almost 2 hour delay cuz someone got on the plane without a pass - sounds safe. 1/2
81	@SouthwestAir Thx for your quick response and action! bf will make good use of the voucher #satisfied #happycustomer
82	@SouthwestAir nothing you can do to help us restore some barely-expired #RapidRewards points?
83	@SouthwestAir Rapid Rewards program sold me short. #Lasttweetaboutthis but still #disappointed.
84	@SouthwestAir freezing in the plane
85	@SouthwestAir where your airline people screwed up our boarding passes on the way back from puerto Vallarta. This is horrible and we are
86	@SouthwestAir from groupA to group C. We have never got to sit next to each other on any south west flight not even on our honey moon
87	@SouthwestAir flight to Atlanta getting Cancelled Flightled and then had to re schedule on the phone for over 1.5 hours with a rep this bumping us
88	@SouthwestAir due to an apparent water issue that checked out fine during the checks my husband and I already had to deal with our first
89	@SouthwestAir u have a lot of pissed off hungry tired people stuck at midway 4 over 2 hours after scheduled departure. This is inexcusable
90	@SouthwestAir do you know that your lost baggage portal http://t.co/hUcLXluV5h doesn't work on mobile? It's a 404 http://t.co/O4ZR27Qpcr
91	@SouthwestAir if you're going to charge for wifi, do us all a solid and make sure it doesn't take the length of the flight to open a page
92	@SouthwestAir your website has now reverted my 1st flight to only a 5-minute delay. But it's changed, so is that reliable information?
93	@SouthwestAir SWA helps the hotel industry. I always book flights a day before I need to be somewhere as SWA consistent Cancelled Flights/delays.
94	@SouthwestAir unfortunately once the call was answered service was horrid. SWA was the role-model of finger pointing &amp; excuses #DISAPPOINTED
95	@SouthwestAir Barzegar charges tourists 700 euros [!] a night for their stay in the tent village he runs. http://t.co/igSVzvrbbN
96	@SouthwestAir can you please make sense of the companion promo? How to we set it up?
97	@SouthwestAir unfortunately I don't even have that. My phone died before o had a chance to grab it. It was from OMA to SAN from 3/27-4/2
98	@SouthwestAir live in Atlanta but cant enroll in your Atlanta companion promotion. Error every time. Can you help? Also sent email. Thanks!
99	@SouthwestAir frustrating indeed especially when no one knows what the issue is....
100	@SouthwestAir  on hold with customer service; you may be quicker.  I rebooked trip for a lower fare.  Where did the difference in $ go?
101	@SouthwestAir That was Chantilly, Paris, France.
102	@SouthwestAir and thx for not responding
103	@SouthwestAir I booked a flight on my phone and then never got a confirmation email. How would I go about getting that?
104	@SouthwestAir Supposed to take off almost 2 hours ago....#vacationfail #frozenwater? #gettingimpatient #theycouldatleastofferfreebooze
105	@SouthwestAir how come I'm not getting my points after I buy from the rapid reward shopping site?
106	@SouthwestAir hey I'm flying from Tampa to Denver today and I want to know if there will be tv's in the seats like @JetBlue
107	@SouthwestAir and Carol Thrower are passengers. Fort Lauderdale airport.
108	@SouthwestAir mins and no answer. My wife and baby need to get on that flight. She arrived 2 hrs prior. Please help. Venetia Crook
109	@SouthwestAir my wife and 9 month old might miss flight and next direct is 210 pm. Mother in law been on hold with customer support for 30
110	@SouthwestAir flight 1614 FLL to ATL. My wife traveling with infant. Line to check baggage 200 people long due to your computer system crash
111	@SouthwestAir Thanks! Sent a DM to you. Let me know if oyu need any additional information.
112	@SouthwestAir Hey, friends. When I phone the A-list number your IVR hangs up on me. Multiple times. Not sure how to proceed?
113	@SouthwestAir strives to be 'Customer Centric' in everything they do - communications, advertising, customer journey, etc. #ANAmarketers
114	@SouthwestAir LA always has traffic, but this is INSANE. I can't be the only one with this issue on flight 1625
115	@SouthwestAir INSANE traffic in LA. Trying to call you all to re schedule flight but been on phone for 20 minutes and nothing.
116	@SouthwestAir Airline trouble &amp; not getting satisfactory customer service? contact http://t.co/aQjn4HwNaC  we negotiate resolutions for You!
117	@SouthwestAir hey southwest! Help me find a flight from Nashville - Washington DC or Raleigh for under $150 on March 15 please!
118	@SouthwestAir Why can we no longer change trips with a companion online? Been doing it for years, now get message can't be done online?
119	@SouthwestAir Adding RR number to a @Marriott stay is too hard. Won't take RR number at checkin/out and Marriott phone CS not helpful.
120	@SouthwestAir NOR @SpiritAirlines fly to Toronto?!?!? You're killing me smalls.......
121	@SouthwestAir Thank you!
122	@SouthwestAir traditionally used sledge hammer - low $ taking share from driving | now scalpel approach through data science  #ANAmarketers
123	@SouthwestAir Customer Centricity is knowing people #ANAMarketers
124	@SouthwestAir I have used you guys for most my travels, but this last experience I will never use southwest again! #worstcustomerservice
125	@SouthwestAir is America's largest airline by passengers carried! Wonder if this is b/c they have a 'Customer Service Bible' #ANAmarketers
126	@SouthwestAir: #VIPLiveintheVieyard - first time we tried to redeem pts for *anything*, it really did not go well. #disappointed
127	@SouthwestAir ok thank you  i hope  so too
128	@SouthwestAir Is there a way to receive a refund on a trip that was Cancelled Flight online instead of calling? Your phone lines are super busy.
129	"@SouthwestAir @intuit @jhamilton2007 4 moms, 4 careers, 1 day trip to LA. #intuitlife #leanin http://t.co/2qJbCv5jzq"" #southwestairlines"
130	@SouthwestAir is there a resource to check delays/Cancelled Flightlations out of Love Field? Flying out tomorrow am and stressed about weather! ❄️
131	@SouthwestAir Switching planes due to mechanical problems.  How does reboarding work? Was A49, now at end of long line.  Stuck in middle?
132	@SouthwestAir Why, when I booked via phone after calling the A List preferred #, didn't my KTA get added to the ticket??? Must I use web?
133	@SouthwestAir: Tried for VIP Live in The Vineyard but yr site went down, by the time I got in 2 redeem pts those packages gone.
134	@SouthwestAir An Oscar-worthy entrance into LA. http://t.co/10tmtHVFDC
135	@SouthwestAir is the best airline hands down. Amazing customer service, bags free and affordable flights. #happycamper
136	@SouthwestAir thanks to Ella-Mae at LAS counter for going above and beyond to help us get back to ABQ after our flight was Cancelled Flightled!
137	@SouthwestAir @PHLAirport Will Flight 2155 that arrives at E11 be a penguin plane?
138	@SouthwestAir Thank you for taking good care of people with ALS! http://t.co/m1yyWAFkFI @KevinSwan_ @ALSTDI @A_Life_Story_
139	@SouthwestAir has the smoooothest flight attendants. #SouthwestSmoothie http://t.co/Vr9k180LaI
140	@SouthwestAir why was Southwest only airline to Cancelled Flight all flights from Charleston? Was 7:50pm flight Cancelled Flightation really weather reLate Flightd?
141	@SouthwestAir #stepup #makeitright re you best? Or just money hungry? #wewillsee
142	@SouthwestAir Thanks for the text, but not exactly timely 8). Data throughout issues today maybe? http://t.co/aaU9MKA6Zy
143	@SouthwestAir I called the 800 # and the rep there was pleasant but less than helpful! Told me I was SOL. Train them for consistent #CX!
144	@SouthwestAir 25 year customer but I am 6 3 and those lost 2 or 3 inches really hurt  every time the person in front shifts he raps my knees
145	@SouthwestAir- ...was only less than 3500pts, but it helped. Had PartnerRewards incoming, but not fast enough to keep pts from expiring.
146	@SouthwestAir- Wife's RR pts expired a few days ago, were planning on Flight Booking Problems trip today. Anything you can do for us? On a tight budget...
147	@SouthwestAir would be great if I atleast was next to my husband who is flying in the same reservation
148	@SouthwestAir why is customer relations still not open....in Texas?!
149	@SouthwestAir Thank you for the tip!
150	@SouthwestAir   I hate evolved seating. knees in the seat pocket http://t.co/forNpF69Ky
151	@SouthwestAir Thanks to your team for dealing with Flight 1700 to Houston.
152	@SouthwestAir bumped me to preboard on both flights (because I'm fat?) Whatever the reason, thanks!
153	"@SouthwestAir I ""heart"" Southwest but those commercials aimed to satisfy a nano-smattering of travelers to few destinations."
154	@SouthwestAir I urgently need two receipts sent but CS is closed. Can you help?
155	@SouthwestAir sent
156	@SouthwestAir Any ETD for SWA1004 from PHL? Appears delayed but no info available at gate.
157	@SouthwestAir can you tell me why you Cancelled Flightled the flight vs delay
158	@SouthwestAir my bday was yesterday and my girl gave birth to my first born and I couldn't get a courtesy flight change from Lynn... THANKS!
159	^CB how do you know? @SouthwestAir
160	@SouthwestAir no need, I know the status, you Cancelled Flightled instead of delaying the flight.
161	@SouthwestAir weather where? And at what time Cancelled Flighted? No I can't because meeting was today.
162	@SouthwestAir the flight isn't that empty.... Is this rude or not? http://t.co/4RL0p5JChB
163	@SouthwestAir - We left iPad in a seat pocket.  Filed lost item report. Received it exactly 1 week Late Flightr.  Is that a record?  #unbelievable
164	@SouthwestAir when and why was flight 4471 from MSP Cancelled Flighted this AM?
165	@SouthwestAir I luv y'all but please stop overheating your planes. Second flight in a row that feels like a sauna.
166	@SouthwestAir I was not the one traveling. I was asking for my sister who was waiting on my nephew in Midland...flight eventually landed
167	@SouthwestAir can anyone help me upgrade to buisness select !? Cant seem to get hail of the right area at all .. I know you guys are good
168	@SouthwestAir i have asked Lindsey to call me instead of DM like a schoolgirl but so far no call   Getting tired of typing little notes
169	@SouthwestAir give us some more clever advertising about #bagsflyfree is that because #badpolicy allows you to #cheatcustomers
170	@SouthwestAir it's just the principle - it's hard to get mugged &amp; not be upset you took my money &amp; didn't give me anything #wrongiswrong
171	@SouthwestAir customer service you shouldn't use those words wasted my time and took my money #BadBussiness #Theft http://t.co/63zaQ2lt8f
172	@SouthwestAir three hour flight to Orlando and no wifi? Uncool. #firstworldproblems
173	@SouthwestAir loving the new planes and the lighting, only wish windows were larger. http://t.co/h44uJ63CJG
174	@SouthwestAir I would like to ask that his bags be picked up at PIT &amp; taken to his hotel by the airport. Will someone contact me
175	@SouthwestAir customer service at FLL, BWI,and PIT have been terrible.no one knows where his bags are.his is on a job with no clothes &amp; gear
176	@SouthwestAir After multiple attempts, I was finally able to submit them Late Flight last night.
177	"@SouthwestAir up at 4AM and arrive to find it already Cancelled Flighted. No options so miss my meeting. You might ""know"" but don't show it."
178	@SouthwestAir it's a new day and a new chance for you to do the right thing it's never too Late Flight to be honest.
179	@SouthwestAir darn! I bought it on the wrong device! No way to switch I'm sure?
180	@SouthwestAir quick question - i bought wifi for my phone, do I have to buy it again on my tablet? I have 9 hours left on my trip
181	@southwestair cool shot of the moon and one of your fleet http://t.co/kl9BAiMES6
182	@SouthwestAir Hello SWA, Who is your POC for partnerships with nonprofit organizations in BWI area?
183	"@SouthwestAir hey remember that time you lost my husbands bags? I do. 

#filmjobnoequipment 
#nowarmclothes"
184	@SouthwestAir Looking forward to flying once again with #SWA on Friday! The #LUV airline. #DTW #MDW #TUS
185	@SouthwestAir I love this airline so much! Thanks so much! The service is great! The snacks are amazing! Everything is outstanding thanks!!
186	@SouthwestAir you need to redeem yourself. I lost respect for you tonight #lostbags #filmjobnoequipment
187	@SouthwestAir way to fuck up and lose @c_istudios bags. My husband has no warm clothes and no equipment. #youdidit #notcool
188	@SouthwestAir you should have assigned seating, because now my cousin &amp; I probably can't sit together on our flight tomorrow.. Thanks.
189	@SouthwestAir wifi stays connected about the lifetime of a higgs boson
190	@SouthwestAir forget wedding fairs. How about discounts for nonprofits? We donate part of our worth every single day
191	@SouthwestAir When will your phone agents be able to give the correct departure times for CUN? When can we checkin online for international?
192	@SouthwestAir making me miss #TheBachelor right now #wah
193	@SouthwestAir Please lower my plane flight by like $100 bucks!! Thanks~ #FloridaVacation
194	@SouthwestAir had a great flight to and from Cabo last week with my family #smoothflight #frequentflyer
195	@SouthwestAir we can let #bags flutter because we charge travelers that had to change dates #fullprice and we don't let them travel
196	@SouthwestAir 👏👏👏 on that Late Flightst ad. Makes me happy to be flying you in a few days. #BETHonors
197	@SouthwestAir The Fact That U See Black History Month 12 Months A Year Is Honorable! We WILL BE An Economic Base For Corp. Like U In Future!
198	@SouthwestAir should offer cdn border towns incentive to fly since exchange rates are #hurt. #customerappreciation #gaincustomers #keepem2
199	@SouthwestAir What an awesome flight Dallas 2 NY. Virgin America refused bc of my child's peanut allergy but u guys didn't. Thanks! 👍😊
200	@SouthwestAir won't let me send a DM because they don't follow me.. #lovedflyingwiththem #notanymore #wrong #badpolicy
201	@SouthwestAir reference #: 261093929756
202	@SouthwestAir your welcome. It was the thoughts of nearly the entire plane.
203	@SouthwestAir Do you know the reason flight #336 from Dallas to Midland was diverted to Lubbock? Was suppose to be direct to Midland.
204	@SouthwestAir in flight wifi + @TMobile wifi calling makes for the best combination. Who doesn't love texting 40,000 feet in the air :D
205	@SouthwestAir has become like every other airline #crooked I can't believe they are taking over $500 #shouldwearmasks #shocked
206	@SouthwestAir here is my conf #F8NEQM. My flight was delayed for 3 hours while my friend waited for me on her bday. Please follow up.
207	@SouthwestAir Twitter cust svc rule 1 Dont say IF we fell short. I just told u u did! #2 If u cant solve problem don't say anything at all!
208	@SouthwestAir disappointed in the 'service' I've received. Checked in online, checked my my flight status online, CHECKED IN AT THE AIRPORT
209	@SouthwestAir great day in the air. http://t.co/YNc2ZUt4zz
210	@SouthwestAir thanks!
211	@SouthwestAir Thanks for two smooth, safe and fast flights! #Boston #Houston #LUVSWA http://t.co/elhxUV0Uj1
212	@SouthwestAir /I really love your customer service Lou Ann in Phx rocks. Thanks SW. #be Ourguest
213	See you in ATL! “@SouthwestAir: Congrats to our #DestinationDragons winners! Ready, Atlanta? http://t.co/AY1GIdcfa4 http://t.co/yC7V2s0iOd”
214	@SouthwestAir if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass?
215	@SouthwestAir very disappointed in your customer service right now. definitely not feeling the luv. what's worse, 2nd time this winter.
216	@SouthwestAir will do - if you follow back I can DM that info
217	@SouthwestAir Katie, Gate C47, Denver International, fantastic customer service helping me and 2 new flyers; thx for amazing staff!
218	@SouthwestAir Kudos to bag handler at DTW gate 21 at 7:10 pm. Ran to keep bags from hitting ground in 9 degree temp! http://t.co/5tXU5tSFkJ
219	@SouthwestAir crew on flight 206 is awesome! Tell them I sent this tweet and maybe they will give me free wifi... #canthurtasking
220	@SouthwestAir thankyou :))❤️
221	@SouthwestAir how much is ur wifi fam
222	@SouthwestAir @Imaginedragons I tried. 😔 It's okay
223	@SouthwestAir happy to enter your sweepstakes again #nutsaboutsouthwest
224	@SouthwestAir thanks for the great customer service today! 👍👌
225	@SouthwestAir is the vinyl part of the prize too?
226	@SouthwestAir beyond ready
227	@SouthwestAir when I called I was told my bag had made it to PHL, but still has not been delivered or any call from the delivery service
228	@SouthwestAir Looks like brooding skies out of ONT this evening. http://t.co/X9BLwgWA68
229	@SouthwestAir No monkey business we luv SWA!! #mdw2mci #homeandreadyfornexttrip http://t.co/2xJvUn66ZZ
230	@SouthwestAir is my favorite airlines. I've never had issues with them. Plus there crew is entertaining.
231	@SouthwestAir Should be a way to give voice to customers who pay for services that are not satisfactorily delivered. #justsayin
232	@SouthwestAir your flight attendants are really funny!! The sass is giving me life!!! 😂
233	@SouthwestAir I am genuinely surprised you all don't upgrade people when you Cancelled Flight their flights or at least put them in a comparable spot
234	@SouthwestAir following. Thank you.
235	@SouthwestAir would someone please DM me the customer relations number. The website has only customer service.
236	@SouthwestAir : This is the second time in a row I haven't received text updates about flight time change. Don't offer if you won't use it
237	@SouthwestAir you Cancelled Flightled my flight and now I am in the back of the queue and you want to charge me 200  for business class? Stay classy
238	@SouthwestAir hope your flyers get a credit of some sort for all the delays and Cancelled Flightlations #shittydeal #notimpressed
239	@SouthwestAir @TaylorLumsden Taylor.  U gotta love SWA responsiveness at the@very least huh?
240	@SouthwestAir It's all good. Thanks!
241	@SouthwestAir thank you :)
242	@SouthwestAir NOW you love me? After taking my money and only taking me halfway home. Sorry. Too Late Flight
243	@SouthwestAir oh, ok!  all good!  looking forward to escaping the cold for a bit!  thanks!
244	@SouthwestAir wifi is so slow! What is the point having one if can't get on the Internet?! Ugh...
245	@SouthwestAir I have a few questions about flying with my Maltese puppy. Can you DM me?
246	@SouthwestAir any word when the customer relations department will open back up?
247	@SouthwestAir can you tell me if flight 805 from MDW-FLL tomorrow (2/24) is at full capacity?  i'm hoping for a little bit of extra room! 😊
248	@SouthwestAir  Just left there  Friday!
249	@SouthwestAir oh no worries. Just have never seen that before until today. I mean…it is a great card 😀
250	@SouthwestAir Thank you Thank you Thank you!!! My last attempt to win #DestinationDragons tickets was a success! I could not be happier!! :)
251	@SouthwestAir Flight 1700. (PHX TO LAX) Wheels stop.  Glad to be home!  Thanks to the professionals both up front and in the cabin!!!
252	@SouthwestAir eyes next steps for improving #inflight #Wifi - Runway Girl http://t.co/h46HT1Oz40
253	@SouthwestAir Could you maybe hook (@FuyukaiDesuYo ) with some imagine dragon tickets tonight! SHES a HUGEEEEE FAN &amp; would really love to go
254	@SouthwestAir hasn't evennotified us that theflight isdelayed via email/text/phone call.If we wererunning Late Flight I would be pissed #unreliable
255	@SouthwestAir can tweet through the weekend/ bad weather, but closes down customer relations center to process refunds for Cancelled Flighted flights.
256	@SouthwestAir stop Cancelled Flighting my flight I have US history tests to take and chemistry things to learn do you not understand!!!!!!!!!
257	@SouthwestAir 2/22-MDW 2 SAN flt 1687 attendant Melissa was awesome! Fast, smiling, great. After weather Cancelled Flight day b4, it was welcome
258	@SouthwestAir been all up and down the area where the pic was taken and don't see any albums.
259	@SouthwestAir I enjoyed a call from my good friend he's Flight Booking Problems his flights elsewhere as I tweet one at a time I will tell as many as I can
260	@SouthwestAir thank you. Great customer service so far. Accidents happen I understand. Hopefully everything works out.
261	@SouthwestAir my question is this: what's up with the crazy boarding procedure? Does the confusion prevent fistfights over the good seats?
262	@SouthwestAir opened online applications for Fall 2015 intern positions throughout the company.  Apply via https://t.co/GmL7ot3IMH
263	@SouthwestAir honesty should always be the policy
264	@SouthwestAir thanks for the quick response. Should I call daily it wait the 5 days.
265	@SouthwestAir I knew I was correct! http://t.co/9eueYxAwcv
266	@SouthwestAir briughy me to @ComClassic, #AIF2015 &amp; so much more with the #agcommunity
267	@SouthwestAir any deals to orlando in April/may??
268	@SouthwestAir #magazine feature: Desk Plants Increase Productivity by 15%. #LuvSWA #healthbenefitsofplants #gardening http://t.co/BVfAxDUBAQ
269	@SouthwestAir New marketing song? https://t.co/F2LFULCbQ7 let us know what you think? http://t.co/iQnVyFPg4P
270	@SouthwestAir prove it, Cuz the southwest people here don't even know why it's behind schedule.
271	@SouthwestAir seeing your workers time in and time out going above and beyond is why I love flying with you guys. Thank you!
272	@SouthwestAir u were bae until u lost both of my bags and had no clue where they were or what happened to them for 36 hours :/
273	@SouthwestAir prove it
274	@SouthwestAir Travel agent Darrel here at Love Field hosting a paper airplane contest to entertain all the children was so awesome to see!
275	@SouthwestAir Big kudos to your staff today at Dallas Love Field for lifting everyone's spirits today with all the delays and Cancelled Flightlations
276	@SouthwestAir it's not fun having a delay from Nashville to Las Vegas, but the crew at the gate C9 desk has been AWESOME! #patience #luvswa
277	@SouthwestAir thinks that a $100 voucher makes up for spending 4 hrs on a plane and landing at the same airport we took off from. Really?
278	Never got to the strip that fast before. Stoked for special @Imaginedragons show tonight! Thx again @SouthwestAir! http://t.co/ToPqmVqnJp
279	@SouthwestAir The problem is apologies don't help. Results matter and it's proving impossible to find anyone who is interested in that.
280	@SouthwestAir no fare giving out clues.  In route now.
281	@SouthwestAir telling my Fam in Vegas now. :)
282	@SouthwestAir How many tickets are left?
283	@SouthwestAir thank you!
284	@SouthwestAir- is new #MKT strategy to be average like all the rest? #whathappend? RR Points Devalued- AGAIN -http://t.co/mDbDYomrs7
285	@SouthwestAir do these scavenger hunt  locations have anything in common because I'm playing detective trying to figure out the one for ATL.
286	@SouthwestAir Why do you have to be 18 😭
287	@SouthwestAir ruined my Sunday. 3+ hours of delays out of DIA, now my bags are at the wrong airport. $35 to deliver them? Insult to injury.
288	@SouthwestAir What can we do to bring you back to Jackson, MS?! We miss you terribly around here. These other airlines are horrible!!
289	@SouthwestAir Any idea why TSA Pre-Check isn't showing for my next flight tomorrow? The number is in my profile...
290	@SouthwestAir 3 hours and 80 degree difference. Yes please!!  MHT TO MCO @sadie4406 http://t.co/MRAW3qDw4D
291	@SouthwestAir sent. looking for that functionality in your app, though. should be a one click action.
292	@SouthwestAir still there? I was posted up in Downtown waiting for y'all. On my way!
293	@SouthwestAir like kelsey said, really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio?
294	@SouthwestAir are 5 people there?
295	@SouthwestAir looks like Bellagio to me! Good luck people! See you at the show at Vinyl
296	“@SouthwestAir: Congrats to these fans who are seeing #DestinationDragons in L.A.! SLC, you're next! http://t.co/YcCITaeP3S” Thanks again SW
297	@SouthwestAir Can a pair of tickets waiting for me after my sports practice? I live here and definitely know where that is! @Imaginedragons
298	@SouthwestAir Love Southwest. You guys have been good to me! http://t.co/X4tDY84dBH
299	@SouthwestAir how about #destinationdragon tix for tonite for the inconvenience since I am not there to play scavenger hunt?
300	@SouthwestAir Dang, if only practice was an hour Late Flightr today...
301	"@SouthwestAir that was supposed to say ""boo"" not book. booo."
302	@SouthwestAir #Vegas I was there 5 days ago. Miss the  Warm Weather
303	@SouthwestAir Your crew on 3138 is doing a great job of keeping everyone informed during the delays #givethemraises
304	@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?
305	@SouthwestAir really easy for locals to get down to the strip. book.
